"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C2,C5,C102,C103,C104","100n","~","Capacitor_SMD:C_0402_1005Metric","6",""
"C3,C801","10n","~","Capacitor_SMD:C_0402_1005Metric","2",""
"C4,C6","1u","~","Capacitor_SMD:C_0402_1005Metric","2",""
"C101","4u7","~","Capacitor_SMD:C_0402_1005Metric","1",""
"C106","10u","~","Capacitor_SMD:C_0402_1005Metric","1",""
"C107","22u","~","Capacitor_SMD:C_Elec_5x5.4","1",""
"D101,D102,D103","BLUE_LED","https://www.we-online.com/components/products/datasheet/150060RS55040.pdf","LED_SMD:LED_0603_1608Metric","3",""
"D104,D105,D106","RED_LED","https://www.we-online.com/components/products/datasheet/150060RS55040.pdf","LED_SMD:LED_0603_1608Metric","3",""
"H101,H102,H103,H104","MountingHole_Pad","~","MountingHole:MountingHole_3.2mm_M3_Pad_Via","4",""
"J1,J3","Conn_01x04","~","Connector_JST:JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical","2",""
"J2","Conn_01x06","~","Connector_JST:JST_EH_B6B-EH-A_1x06_P2.50mm_Vertical","1",""
"J101","Conn_01x02","~","Connector_AMASS:AMASS_XT60-M_1x02_P7.20mm_Vertical","1",""
"J102,J103","Conn_01x03","~","Connector_JST:JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical","2",""
"J104","Conn_01x15","https://www.we-online.com/components/products/datasheet/618015231421.pdf","libs:CONN15_31321_WRE","1",""
"J105","Conn_ST_STDC14","https://www.st.com/content/ccc/resource/technical/document/user_manual/group1/99/49/91/b6/b2/3a/46/e5/DM00526767/files/DM00526767.pdf/jcr:content/translations/en.DM00526767.pdf","Connector_PinHeader_1.27mm:PinHeader_2x07_P1.27mm_Vertical_SMD","1",""
"R1","100k","~","Resistor_SMD:R_0805_2012Metric","1",""
"R101,R102","1k","~","Resistor_SMD:R_0402_1005Metric","2",""
"R103,R104,R105","82","~","Resistor_SMD:R_0402_1005Metric","3",""
"R107","5k1","~","Resistor_SMD:R_0402_1005Metric","1",""
"R108","1k6","~","Resistor_SMD:R_0402_1005Metric","1",""
"R109","820","~","Resistor_SMD:R_0402_1005Metric","1",""
"R801,R802","10k","~","Resistor_SMD:R_0402_1005Metric","2",""
"SW1,SW801","SW_SPST","~","Button_Switch_SMD:SW_Push_1P1T_NO_6x6mm_H9.5mm","2",""
"SW101","SW_SPDT","https://www.we-online.com/components/products/datasheet/472123010111.pdf","mylib:472123010111","1",""
"U1","STM32G474RETx","https://www.st.com/resource/en/datasheet/stm32g474re.pdf","Package_QFP:LQFP-64_10x10mm_P0.5mm","1",""
"U103","AZ1117-3.3","https://www.diodes.com/assets/Datasheets/AZ1117.pdf","Package_TO_SOT_SMD:SOT-223-3_TabPin2","1",""
"U104","173010542","","Library:173010542","1",""
